123051033 56429
Q 51621170 469659176
Q 138719854 504758966
Q 525159540 630137268
H 245751840 263950228
Q 243280064 661505564
H 90312664 174003404
H 170125020 177896483
H 123628518 987926799
H 130259949 295145709
Q 39625285 548668645
H 518659284 622235482
H 143615154 154297918
H 483980214 725289926
H 326951316 354638124
H 145644870 856690590
H 183031332 358384574
H 7466457 199758914
H 110402658 203488900
H 60519504 62549254
Q 128878310 178083973
H 28547827 467414947
H 769879848 905487348
H 321798906 411778111
Q 19493730 77417040
H 22109635 221303161
Q 266269880 320372865
Q 777095388 1582840818
Q 48256251 161109096
H 615028794 716047426
H 10057206 294706658
H 136533150 461632745
H 39225088 186333498
Q 457212840 948435976
H 725477874 1062746232
H 200675134 259853339
H 321741162 537861693
H 639527280 1015927032
Q 214587702 394700042
H 241522600 259432024
Q 4229476 65890987
H 66424818 488278593
H 304718112 579901192
H 48236721 835629651
Q 102219437 259320377
H 2781850 90404602
Q 231532647 462745943
H 299080204 347876236
Q 16480524 505231514
H 34212033 74977533
H 179586969 284172769
Q 75732720 241768492
H 197837409 378280674
H 135078066 472010617
H 765335518 975382228
H 87365690 241847540
H 21855000 399646320
Q 377198105 664253177
Q 700076937 1666657866
H 206714725 872553283
H 10624107 94349121
Q 931960436 1442649344
H 614870433 817473733
H 405663752 482689892
H 177107364 179322597
H 275468410 837898327
Q 502702158 956123294
H 484190340 758313885
H 529605843 802106367
H 59813571 68091731
Q 483034284 725137394
H 176493504 285682595
H 260568534 680339704
Q 53550552 549267004
H 116320266 806806459
H 154417221 478533195
H 419319952 457165552
H 223190080 655425285
H 447436022 762927092
H 757907676 1115815996
H 212070780 212075154
H 139470054 669992760
H 44122000 393568496
H 39313890 91839386
H 140155839 956986929
H 63844066 96502517
H 339545563 694668373
H 93422744 94528664
H 717221336 740305396
Q 63924735 158144175
H 210355714 267604044
H 185546448 203681268
H 46716635 147990055
H 577996397 1237814717
Q 114656867 185839107
Q 304422811 305153647
H 709253939 1014863705
H 141430660 168020020
H 238564032 449834446
H 240825636 482372541
Q 73258068 144866864
Q 332067696 635707095
Q 161367654 178476755
H 11531440 260851036
H 105015432 119401104
H 186003092 201863924
H 250377609 381310890
H 41351211 97223961
Q 22188218 63341330
H 745486702 865316522
H 369882180 627676080
H 186098514 255746898
Q 336130230 390053592
H 119630216 340502714
Q 388359412 1308460286
H 33776276 607304868
H 432967922 495063795
H 71376810 350120926
H 175704263 620724653
H 78653800 323451624
H 975478020 1175885529
Q 200763044 1005265919
H 61475946 387175026
Q 26583129 748282566
H 408694314 1004923002
Q 188734674 660133864
Q 193747737 511525497
Q 195408 11411200
Q 126808992 364497678
