293682775 20000
H 2 134217737
Q 2 134217947
H 2 134218175
Q 2 134218444
H 2 134218211
Q 2 134218421
Q 2 134217987
H 2 134218421
H 2 134218309
Q 2 134217854
H 2 134218714
Q 2 134218366
H 2 134217804
Q 2 134218335
Q 2 134218434
Q 2 134218617
H 2 134217953
H 2 134217821
H 2 134218158
Q 2 134218077
Q 2 134217761
H 2 134218715
H 2 134217980
H 2 134218224
H 2 134218717
H 2 134218678
H 2 134218023
H 2 134217976
Q 2 134218480
H 2 134218328
H 2 134218478
H 2 134218273
H 2 134218043
H 2 134218246
H 2 134218579
Q 2 134218530
Q 2 134218612
Q 2 134217938
Q 2 134218694
H 2 134218408
Q 2 134218490
Q 2 134217889
H 2 134218327
Q 2 134217761
H 2 134218083
H 2 134218325
H 2 134218407
Q 2 134218530
H 2 134218206
H 2 134218156
Q 2 134217944
H 2 134217954
Q 2 134218426
H 2 134218696
H 2 134218272
H 2 134218580
H 2 134217877
H 2 134217797
Q 2 134218066
H 2 134217905
Q 2 134218638
H 2 134218463
H 2 134217917
H 2 134218180
H 2 134217971
H 2 134218705
H 2 134217931
Q 2 134217868
H 2 134218587
H 2 134218118
H 2 134218498
Q 2 134218414
H 2 134218150
Q 2 134218396
H 2 134218391
H 2 134218496
Q 2 134217960
Q 2 134218556
H 2 134217879
H 2 134218543
H 2 134218586
H 2 134218724
Q 2 134218092
H 2 134217858
H 2 134218040
H 2 134218245
H 2 134218566
H 2 134217949
H 2 134217836
H 2 134218125
H 2 134218255
H 2 134218383
H 2 134218122
H 2 134218174
H 2 134218269
H 2 134217844
Q 2 134218626
H 2 134217797
H 2 134217852
Q 2 134218339
Q 2 134217753
H 2 134217867
H 2 134218538
Q 2 134218289
H 2 134218256
Q 2 134218176
H 2 134218321
Q 2 134218548
Q 2 134218219
Q 2 134217795
Q 2 134218008
H 2 134217833
H 2 134218155
Q 2 134218187
H 2 134217811
Q 2 134218095
Q 2 134217949
H 2 134218690
H 2 134218654
H 2 134217834
H 2 134217985
H 2 134218189
H 2 134217894
H 2 134217808
H 2 134218604
H 2 134218653
H 2 134218424
Q 2 134217863
H 2 134218262
Q 2 134218144
Q 2 134217744
H 2 134218206
H 2 134218413
H 2 134217937
H 2 134218027
Q 2 134218656
H 2 134218392
Q 2 134218716
Q 2 134217917
H 2 134218276
H 2 134217957
H 2 134218659
H 2 134218180
Q 2 134217887
H 2 134218059
Q 2 134218595
H 2 134218531
H 2 134218120
H 2 134218648
H 2 134218511
H 2 134218713
H 2 134218355
Q 2 134218332
H 2 134217829
H 2 134217975
Q 2 134218199
H 2 134218677
H 2 134218708
H 2 134217885
Q 2 134218687
H 2 134218449
H 2 134218220
Q 2 134218694
Q 2 134218349
H 2 134218719
H 2 134217766
Q 2 134218103
Q 2 134218363
H 2 134217990
H 2 134218048
H 2 134217828
H 2 134217888
H 2 134218188
Q 2 134218146
H 2 134218555
H 2 134217881
H 2 134218361
H 2 134218611
H 2 134218462
H 2 134218237
H 2 134217945
H 2 134218037
Q 2 134218533
H 2 134218480
H 2 134218270
H 2 134218341
Q 2 134218107
Q 2 134218257
H 2 134218243
H 2 134218532
H 2 134217845
Q 2 134218148
H 2 134218210
Q 2 134218113
H 2 134218406
Q 2 134218264
Q 2 134218207
H 2 134218108
Q 2 134217749
H 2 134218570
H 2 134218635
Q 2 134217892
H 2 134217852
H 2 134218513
H 2 134218546
Q 2 134217874
Q 2 134218515
H 2 134218304
Q 2 134217973
Q 2 134218516
H 2 134218268
Q 2 134217903
Q 2 134218337
H 2 134217979
H 2 134217829
H 2 134218329
Q 2 134217806
Q 2 134218101
Q 2 134218513
H 2 134218231
H 2 134218129
H 2 134218164
H 2 134218038
H 2 134218460
Q 2 134217882
H 2 134217829
Q 2 134218432
H 2 134218064
H 2 134218262
Q 2 134217866
H 2 134218565
H 2 134218054
H 2 134218294
H 2 134217816
Q 2 134218407
Q 2 134217821
H 2 134218278
Q 2 134218074
H 2 134217990
Q 2 134218562
H 2 134217960
H 2 134217740
H 2 134218691
H 2 134218188
H 2 134218399
H 2 134218201
H 2 134218622
H 2 134218639
H 2 134218100
Q 2 134217870
Q 2 134218033
H 2 134218290
Q 2 134217772
